subject	stream	accuracy
1	single	0.8076923076923077
1	dual	0.7578947368421053
2	single	0.8286713286713286
2	dual	0.7440273037542662
3	single	0.8357142857142857
3	dual	0.7463768115942029
4	single	0.8070175438596491
4	dual	0.8021201413427562
5	single	0.7813620071684588
5	dual	0.7676056338028169
6	single	0.7456445993031359
6	dual	0.7711267605633803
7	single	0.8692579505300353
7	dual	0.7887323943661971
8	single	0.8269896193771626
8	dual	0.7785714285714286
9	single	0.8269896193771626
9	dual	0.7872340425531915
10	single	0.7730496453900709
10	dual	0.7692307692307693
11	single	0.7832167832167832
11	dual	0.6827586206896552
12	single	0.8356643356643356
12	dual	0.8068965517241379
13	single	0.8517241379310345
13	dual	0.7986111111111112
14	single	0.7758007117437722
14	dual	0.7854671280276817
16	single	0.6979166666666666
16	dual	0.7421602787456446
17	single	0.8701754385964913
17	dual	0.7867132867132867
18	single	0.8379310344827586
18	dual	0.7649122807017544
19	single	0.7552447552447552
19	dual	0.7586206896551724
20	single	0.71875
20	dual	0.6947368421052632
21	single	0.8350877192982457
21	dual	0.7881944444444444
22	single	0.8184931506849316
22	dual	0.7543859649122807
24	single	0.8339100346020761
24	dual	0.803448275862069
25	single	0.7839721254355401
25	dual	0.743859649122807
26	single	0.8175438596491228
26	dual	0.8083623693379791
27	single	0.75
27	dual	0.7597173144876325
28	single	0.8181818181818182
28	dual	0.6807017543859649
29	single	0.775438596491228
29	dual	0.7152777777777778
30	single	0.8027681660899654
30	dual	0.718213058419244
31	single	0.8111888111888111
31	dual	0.7517482517482518
32	single	0.8641114982578397
32	dual	0.8408304498269896
