subject	stream	number	mean_amp	baseline	mean_times	p3_group
1	single	1	-0.06834161478708527	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
1	single	2	0.005221281692694125	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
1	single	3	-0.1858640970208348	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
1	single	4	-0.4121502789958732	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
1	single	5	-0.25254231263295934	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
1	single	6	0.21483045255479374	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
1	single	7	-0.2149005562310214	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
1	single	8	0.3406331416423199	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
1	single	9	0.5591006558408824	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
2	single	1	-0.304291696611711	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
2	single	2	-0.27694848231284697	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
2	single	3	-0.2074886446257696	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
2	single	4	-0.4611165541013183	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
2	single	5	-0.3623348687555405	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
2	single	6	-0.012073340814867047	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
2	single	7	0.22504677410167492	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
2	single	8	0.7357912904217097	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
2	single	9	0.6503386068478669	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
3	single	1	0.6861003131243785	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
3	single	2	-0.3899844447251639	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
3	single	3	-0.4448747762691797	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
3	single	4	-0.21659238997772284	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
3	single	5	-0.45609326416488266	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
3	single	6	-0.022747556413615606	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
3	single	7	0.2133032868199645	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
3	single	8	-0.13477779395761907	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
3	single	9	0.747084356866074	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
4	single	1	1.2652918385586167	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
4	single	2	-0.7023349619701524	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
4	single	3	-0.16543240482293137	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
4	single	4	-0.34857611376156955	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
4	single	5	-0.36457265700336977	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
4	single	6	-0.002610191111599304	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
4	single	7	0.17140478692277847	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
4	single	8	0.17702767001053307	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
4	single	9	-0.07819194297288434	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
5	single	1	0.16026784750797954	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
5	single	2	0.014309098870652853	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
5	single	3	-0.19613871445925168	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
5	single	4	0.0690181365314774	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
5	single	5	-0.09980771262921186	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
5	single	6	0.1973985951599059	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
5	single	7	-0.2360922681331634	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
5	single	8	0.017983911718058746	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
5	single	9	0.07176749674361023	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
6	single	1	0.14659416796366367	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
6	single	2	-0.009875426434593668	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
6	single	3	-0.19735169646396208	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
6	single	4	-0.29869805284065665	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
6	single	5	-0.2619767282778716	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
6	single	6	0.03483126275508473	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
6	single	7	0.21574623875315357	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
6	single	8	-0.1005115687907153	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
6	single	9	0.4714226512314137	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
7	single	1	-0.2006854862048305	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
7	single	2	-1.0465491626193397	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
7	single	3	-0.316811839832024	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
7	single	4	-0.3656942491807351	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
7	single	5	-0.23343244750739914	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
7	single	6	-0.041475358573955734	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
7	single	7	0.3841299476786604	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
7	single	8	0.8687305139726018	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
7	single	9	1.0643508709439147	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
8	single	1	0.7256957737930374	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
8	single	2	0.2490889868369101	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
8	single	3	0.1457688220649637	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
8	single	4	-0.4982341039331677	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
8	single	5	-0.5184543141302351	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
8	single	6	-0.4762523612704022	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
8	single	7	-0.22974872564552026	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
8	single	8	0.23133137081171853	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
8	single	9	0.5536126621519765	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
9	single	1	0.3055788607907789	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
9	single	2	0.38000639028845956	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
9	single	3	-0.1967246536871765	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
9	single	4	-0.21785998047828725	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
9	single	5	-0.5608322410350061	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
9	single	6	-0.35456454538831805	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
9	single	7	0.44575920841460454	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
9	single	8	0.19723607103922816	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
9	single	9	0.03792163565531289	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
10	single	1	0.3362052917320875	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
10	single	2	0.13266830465883964	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
10	single	3	-0.011995302347428958	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
10	single	4	-0.6180195388070497	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
10	single	5	-0.3104676694913609	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
10	single	6	-0.06619475898376738	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
10	single	7	-0.06425832954557148	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
10	single	8	0.14760181171544584	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
10	single	9	0.434304699563301	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
11	single	1	-0.39383934661206865	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
11	single	2	0.17274221627097827	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
