subject	stream	loss	BIC	AIC	bias	kappa	leakage	noise	bias0	kappa0	leakage0	noise0	x0_type	method
1	single	225.94959282109306	243.06094024506166	231.94959282109306	0.051141364217885246	1.0	0.0	0.7543681975799567	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
1	dual	287.3207032015864	304.432050625555	293.3207032015864	0.30036253266968405	1.480561471744895	0.0	1.0563815647724901	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
2	single	254.17631453983515	271.28766196380377	260.1763145398352	0.011049622233741379	1.0	0.0	0.9206921476708363	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
2	dual	249.5194833998505	266.6308308238191	255.5194833998505	0.5	3.1850935659534763	0.0	1.4724574052938915	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
3	single	239.8505153686487	256.9618627926173	245.8505153686487	0.019234516892995865	1.0296397245958817	0.0	0.7938217002005004	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
3	dual	321.3107362606688	338.4220836846374	327.3107362606688	0.04455682978302335	5.0	0.0	1.1331772773717108	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
4	single	241.00289713056287	258.11424455453147	247.00289713056287	0.05167775013407806	1.2668768701502104	0.0	0.8253440364537489	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
4	dual	254.94977637668032	272.06112380064894	260.94977637668035	-0.031963931744403706	1.0	0.0	0.8760641950080409	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
5	single	261.47244451527695	278.58379193924554	267.47244451527695	-0.02242422844623681	1.5101069980984123	0.0	0.7454009356626055	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
5	dual	271.70247813941137	288.81382556337996	277.70247813941137	0.15979176146545804	2.23386291519036	0.0	0.8532145002395204	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
6	single	362.4049968676294	379.516344291598	368.4049968676294	-0.0035725276856885414	5.0	0.0	1.5428580813127186	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
6	dual	313.0630784290345	330.1744258530031	319.0630784290345	-0.010502011752802118	1.0	0.0	1.3885039482609487	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
7	single	191.34095157692107	208.45229900088967	197.34095157692107	0.00949891042114376	1.0	0.0	0.517447872272602	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
7	dual	265.2779129951008	282.3892604190694	271.2779129951008	0.4140354295587668	2.2189605457177333	0.0	1.0774695308704652	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
8	single	223.25873449567825	240.37008191964685	229.25873449567825	0.0008157977440028936	1.1177893387781093	0.0	0.7058074611430605	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
8	dual	292.7380612473574	309.849408671326	298.7380612473574	0.5	5.0	0.0	3.0	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
9	single	224.43201989174463	241.54336731571323	230.43201989174463	-0.02739904331946896	1.0	0.0	0.7402164118338487	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
9	dual	290.508288172907	307.6196355968756	296.508288172907	-0.0002327431255037495	1.0	0.0	1.0711658561254271	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
10	single	266.0253333540946	283.1366807780632	272.0253333540946	-0.04030447247196506	1.0	0.0	0.9504795020350993	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
