subject	stream	loss	BIC	AIC	bias	kappa	leakage	noise	bias0	kappa0	leakage0	noise0	x0_type	method
1	single	225.94959282109306	237.35715777040548	229.94959282109306	0.051141364217885246	1.0	0.0	0.7543681975799567	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
1	dual	292.91958516232444	304.32715011163685	296.91958516232444	-0.033295659404345	1.0	0.0	1.109782745676962	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
2	single	254.17631428168642	265.58387923099883	258.1763142816864	0.011037455633829452	1.0	0.0	0.9207068014824189	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
2	dual	312.6119920333557	324.0195569826681	316.6119920333557	-0.035505835622115164	1.0	0.0	1.1799276655136124	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
3	single	239.8717864852109	251.27935143452328	243.8717864852109	0.01941054215867416	1.0	0.0	0.8001591016207057	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
3	dual	309.53206841473315	320.93963336404556	313.53206841473315	0.011075879688070871	1.0	0.0	1.296119801238155	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
4	single	242.25213319294093	253.65969814225332	246.25213319294093	0.0594531569566468	1.0	0.0	0.882041970373806	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
4	dual	254.94977648250202	266.3573414318144	258.949776482502	0.0068958088716477945	1.0	0.0	0.8760300073869807	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
5	single	266.0414502131316	277.449015162444	270.0414502131316	-0.025636981328745024	1.0	0.0	0.830863293940006	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
5	dual	290.361705557083	301.7692705063954	294.361705557083	0.00923571328722993	1.0	0.0	1.0989289380950575	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
6	single	344.3679543277226	355.775519277035	348.3679543277226	-0.01482101408941488	1.0	0.0	1.6931879216075199	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
6	dual	313.0630784341044	324.4706433834168	317.0630784341044	0.011743963541694172	1.0	0.0	1.3885616989627447	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
7	single	191.34095157692107	202.74851652623346	195.34095157692107	0.00949891042114376	1.0	0.0	0.517447872272602	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
7	dual	292.3893575348877	303.79692248420014	296.3893575348877	0.0092175611981881	1.0	0.0	1.0992353576034615	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
8	single	223.60382905378898	235.01139400310137	227.60382905378898	0.001994517093761958	1.0	0.0	0.7283559854664136	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
8	dual	303.5714834678173	314.9790484171297	307.5714834678173	-0.03638893236557391	1.0	0.0	1.2029593110526502	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
9	single	224.43201929165946	235.83958424097187	228.43201929165946	-0.027393898108902193	1.0	0.0	0.740264215207862	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
9	dual	290.508288180662	301.91585312997444	294.508288180662	-0.03199329070620545	1.0	0.0	1.0711185686541904	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
10	single	266.0253328696321	277.4328978189445	270.0253328696321	-0.040289659340519396	1.0	0.0	0.9505595506907876	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
10	dual	305.53479947590137	316.9423644252138	309.53479947590137	0.011227712261420608	1.0	0.0	1.3066795729879792	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
11	single	289.9167521765231	301.32431712583553	293.9167521765231	0.02207791798042075	1.0	0.0	1.2009500915934672	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
11	dual	364.8007949915833	376.2083599408957	368.8007949915833	-0.06471292018373627	1.0	0.0	2.021579224577894	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
12	single	222.39346665210314	233.80103160141556	226.39346665210314	0.060920035404006485	1.0	0.0	0.7979300575312824	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
12	dual	272.68341676060356	284.090981709916	276.68341676060356	-0.029324353076116826	1.0	0.0	0.9897054650854336	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
13	single	200.28570553331082	211.69327048262323	204.28570553331082	-0.037030594728445804	1.0	0.0	0.676530388166357	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
13	dual	271.99774890077106	283.4053138500835	275.99774890077106	-0.02818467787885498	1.0	0.0	0.9543343256398784	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
14	single	280.6073892648014	292.0149542141138	284.6073892648014	0.02938182248355664	1.0	0.0	1.0014292445663204	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
14	dual	275.283153983416	286.69071893272843	279.283153983416	0.008665027437371107	1.0	0.0	1.052750621572031	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
16	single	315.3283072270774	326.7358721763898	319.3283072270774	0.10819322312988057	1.0	0.0	1.58475706756843	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
16	dual	339.87061876673727	351.2781837160497	343.87061876673727	-0.050607257749517805	1.0	0.0	1.615242681291115	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
17	single	200.52131973932924	211.92888468864163	204.52131973932924	0.009563508224782026	1.0	0.0	0.6029810950578198	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
17	dual	239.33846804791497	250.74603299722736	243.33846804791497	0.005746917869521731	1.0	0.0	0.7907985525815782	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
18	single	238.0010218154169	249.4085867647293	242.0010218154169	0.01448800760002434	1.0	0.0	0.7686899481030482	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
18	dual	296.7778152221381	308.1853801714505	300.7778152221381	-0.03664229493506354	1.0	0.0	1.213060319013382	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
19	single	286.60072141243427	298.0082863617467	290.60072141243427	0.09350797033686647	1.0	0.0	1.2535492564167874	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
