subject	stream	loss	BIC	AIC	bias	kappa	leakage	noise	bias0	kappa0	leakage0	noise0	x0_type	method
1	single	225.94959282109306	243.06094024506166	231.94959282109306	0.051141364217885246	1.0	0.0	0.7543681975799567	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
1	dual	292.91958516232444	310.03093258629303	298.91958516232444	-0.033295659404345	1.0	0.0	1.109782745676962	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
2	single	254.17631428168642	271.287661705655	260.1763142816864	0.011037455633829452	1.0	0.0	0.9207068014824189	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
2	dual	312.6119920333557	329.7233394573243	318.6119920333557	-0.035505835622115164	1.0	0.0	1.1799276655136124	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
3	single	239.8717864852109	256.9831339091795	245.8717864852109	0.01941054215867416	1.0	0.0	0.8001591016207057	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
3	dual	309.53206841473315	326.64341583870174	315.53206841473315	0.011075879688070871	1.0	0.0	1.296119801238155	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
4	single	242.25213319294093	259.36348061690956	248.25213319294093	0.0594531569566468	1.0	0.0	0.882041970373806	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
4	dual	254.94977648250202	272.06112390647064	260.949776482502	0.0068958088716477945	1.0	0.0	0.8760300073869807	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
5	single	266.0414502131316	283.1527976371002	272.0414502131316	-0.025636981328745024	1.0	0.0	0.830863293940006	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
5	dual	290.361705557083	307.4730529810516	296.361705557083	0.00923571328722993	1.0	0.0	1.0989289380950575	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
6	single	344.3679543277226	361.4793017516912	350.3679543277226	-0.01482101408941488	1.0	0.0	1.6931879216075199	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
6	dual	313.0630784341044	330.174425858073	319.0630784341044	0.011743963541694172	1.0	0.0	1.3885616989627447	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
7	single	191.34095157692107	208.45229900088967	197.34095157692107	0.00949891042114376	1.0	0.0	0.517447872272602	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
7	dual	292.3893575348877	309.5007049588563	298.3893575348877	0.0092175611981881	1.0	0.0	1.0992353576034615	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
8	single	223.60382905378898	240.71517647775758	229.60382905378898	0.001994517093761958	1.0	0.0	0.7283559854664136	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
8	dual	303.5714834678173	320.6828308917859	309.5714834678173	-0.03638893236557391	1.0	0.0	1.2029593110526502	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
9	single	224.43201929165946	241.54336671562805	230.43201929165946	-0.027393898108902193	1.0	0.0	0.740264215207862	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
9	dual	290.508288180662	307.6196356046306	296.508288180662	-0.03199329070620545	1.0	0.0	1.0711185686541904	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
10	single	266.0253328696321	283.1366802936007	272.0253328696321	-0.040289659340519396	1.0	0.0	0.9505595506907876	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
10	dual	305.53479947590137	322.64614689986996	311.53479947590137	0.011227712261420608	1.0	0.0	1.3066795729879792	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
11	single	289.9167521765231	307.0280996004917	295.9167521765231	0.02207791798042075	1.0	0.0	1.2009500915934672	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
11	dual	364.8007949915833	381.9121424155519	370.8007949915833	-0.06471292018373627	1.0	0.0	2.021579224577894	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
12	single	222.39346665210314	239.50481407607174	228.39346665210314	0.060920035404006485	1.0	0.0	0.7979300575312824	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
12	dual	272.68341676060356	289.79476418457216	278.68341676060356	-0.029324353076116826	1.0	0.0	0.9897054650854336	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
13	single	200.28570553331082	217.3970529572794	206.28570553331082	-0.037030594728445804	1.0	0.0	0.676530388166357	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
13	dual	271.99774890077106	289.10909632473965	277.99774890077106	-0.02818467787885498	1.0	0.0	0.9543343256398784	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
14	single	280.6073892648014	297.71873668877	286.6073892648014	0.02938182248355664	1.0	0.0	1.0014292445663204	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
14	dual	275.283153983416	292.3945014073846	281.283153983416	0.008665027437371107	1.0	0.0	1.052750621572031	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
16	single	315.3283072270774	332.439654651046	321.3283072270774	0.10819322312988057	1.0	0.0	1.58475706756843	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
