subject	stream	loss	BIC	AIC	bias	kappa	leakage	noise	bias0	kappa0	leakage0	noise0	x0_type	method
1	single	221.06713110492453	238.17847852889312	227.06713110492453	0.0561562032964496	1.9524958449229155	0.0	0.012609324617581515	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
1	dual	415.24836213281526	432.35970955678386	421.24836213281526	0.1246138252562348	4.606318917695036	0.0	0.14278819396033673	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
2	single	254.16896155982118	271.2803089837898	260.1689615598212	0.010648229747018255	0.9778108119074679	0.0	0.09552786278893258	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
2	dual	415.91340266346504	433.02475008743363	421.91340266346504	0.1775969481006137	5.0	0.0	3.0	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
3	single	239.7619969867567	256.87334441072534	245.7619969867567	0.018975755693396337	0.9311501832362831	0.0	0.09033150590042643	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
3	dual	415.90594130763833	433.0172887316069	421.90594130763833	-0.05513278943430145	5.0	0.0	3.0	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
4	single	242.15582730328674	259.26717472725534	248.15582730328674	0.05756402733594403	1.080090947549278	0.0	0.07656316295730797	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
4	dual	416.0067258602321	433.1180732842007	422.0067258602321	-0.054674225397636236	5.0	0.0	3.0	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
5	single	264.8211190778393	281.9324665018079	270.8211190778393	-0.020167023158322202	1.2815078658371655	0.0	0.04925139396732196	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
5	dual	414.538817217881	431.6501646418496	420.538817217881	-0.5	5.0	0.0	3.0	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
6	single	335.05682884911874	352.16817627308734	341.05682884911874	-0.025295525592746646	0.3775580319913249	0.0	0.4253188114213689	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
6	dual	415.9545046500218	433.0658520739904	421.9545046500218	0.015598368086753356	5.0	0.0	2.9999997842053903	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
7	single	190.55987592504738	207.67122334901597	196.55987592504738	0.008900457517170413	1.248394839828705	0.0	0.030211267796910773	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
7	dual	413.867586695123	430.9789341190916	419.867586695123	0.5	5.0	0.0	1.0402557145067433	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
8	single	221.4328580257836	238.54420544975218	227.4328580257836	0.005603166678578252	1.3665924379722338	0.0	0.036226939664849814	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
8	dual	415.4893795225696	432.6007269465382	421.4893795225696	-0.5	5.0	0.0	3.0	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
9	single	224.07659148788713	241.18793891185572	230.07659148788713	-0.025763047780566643	1.1384595903226447	0.0	0.057474608183494515	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
9	dual	374.22151600599597	391.33286342996456	380.22151600599597	-0.10232649511520323	0.35266737146625365	0.0	0.6774185742164927	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
10	single	260.32458097503707	277.43592839900566	266.32458097503707	-0.040965623689724284	1.770210762253793	0.0	0.025384997928561834	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
10	dual	415.9665986976353	433.0779461216039	421.9665986976353	-0.05581876055631828	5.0	0.0	3.0	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
11	single	289.91674617694775	307.02809360091635	295.91674617694775	0.02208365295506528	0.9993760670782112	0.0	0.12020906688020258	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
11	dual	413.66349679477105	430.77484421873964	419.66349679477105	0.15441571347124783	4.884051322752138	0.0	0.10900774049902287	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
12	single	222.21138075217743	239.32272817614603	228.21138075217743	0.062099274127978506	1.1072646022702326	0.0	0.06626683286962799	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
12	dual	415.7909307969965	432.9022782209651	421.7909307969965	0.09537931344876674	5.0	0.0	0.5880580317455073	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
13	single	197.192856146321	214.3042035702896	203.192856146321	-0.04070674533465087	1.5262418492226304	0.0	0.02484713812654466	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
13	dual	415.9065297790421	433.0178772030107	421.9065297790421	-0.1102901179635379	5.0	0.0	3.0	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
14	single	280.27779714138194	297.38914456535053	286.27779714138194	0.0302778409001445	0.8803389501773342	0.0	0.12209495846129537	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
14	dual	415.21985635771074	432.33120378167933	421.21985635771074	0.09114518935902541	5.0	0.0	0.1425683589706505	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
16	single	308.7209512836092	325.8322987075778	314.7209512836092	0.09937452024020622	0.3435906349987252	0.0	0.3985747937369031	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
16	dual	414.32815491470006	431.43950233866866	420.32815491470006	-0.025074961845494605	5.0	0.0	0.06825242499411921	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
17	single	200.38089575055662	217.4922431745252	206.38089575055662	0.010135762948378538	0.9177766890387333	0.0	0.07085456645247785	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
17	dual	415.62668338810465	432.73803081207325	421.62668338810465	-0.5	5.0	0.0	3.0	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
18	single	236.7044232531376	253.8157706771062	242.7044232531376	0.010876311834842221	0.7864177558440919	0.0	0.11315778748582306	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
18	dual	415.8580495061115	432.9693969300801	421.8580495061115	0.08628358921913037	5.0	0.0	0.6046483873478646	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
19	single	283.06692896618466	300.17827639015326	289.06692896618466	0.09444689353672692	1.4973315797476494	0.0	0.05826336820252192	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
19	dual	415.32885233684624	432.44019976081483	421.32885233684624	0.07869000701683415	3.7323790877293446	0.0	0.3459646654541719	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
20	single	336.00756056932084	353.11890799328944	342.00756056932084	0.09753436585487667	1.1216147914943657	0.0	0.1441256060325794	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
20	dual	415.03393848301107	432.14528590697967	421.03393848301107	0.0071687715510240745	5.0	0.0	0.12340212796220791	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
21	single	258.7025069818833	275.8138544058519	264.7025069818833	0.01613646822214291	0.5407019943941014	0.0	0.20778907654779294	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
21	dual	415.5089152496736	432.6202626736422	421.5089152496736	-0.5	5.0	0.0	3.0	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
22	single	232.05580120231187	249.16714862628046	238.05580120231187	0.03753449749032578	1.3318808367553494	0.0	0.04432536883594662	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
22	dual	414.3599469030689	431.47129432703747	420.3599469030689	-0.4999999992400865	5.0	0.0	1.4530557253481047	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
24	single	243.77901112148268	260.8903585454513	249.77901112148268	0.01924201215583289	0.8389674492607485	0.0	0.11176101762369076	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
24	dual	415.9336459526734	433.04499337664197	421.9336459526734	0.015299915959098721	5.0	0.0	3.0	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
25	single	271.5618525191243	288.67319994309287	277.5618525191243	-0.018614937037588646	1.2203370459085763	0.0	0.06906996478767144	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
25	dual	415.92085098750186	433.03219841147046	421.92085098750186	-0.10536947897955301	5.0	0.0	3.0	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
26	single	251.02184892967063	268.1331963536392	257.0218489296706	0.06667939054532235	1.0692669606810705	0.0	0.080523961958345	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
26	dual	413.25431993183264	430.36566735580124	419.25431993183264	-0.01218991651386924	4.999988454524539	0.0	0.03352875973219305	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
27	single	295.39910980534006	312.51045722930866	301.39910980534006	0.06889054359196439	1.124206552305181	0.0	0.10412913944549096	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
27	dual	413.96814664720995	431.07949407117854	419.96814664720995	0.13945126286456805	5.0	0.0	0.09384789418940037	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
28	single	266.0395808762986	283.1509283002672	272.0395808762986	0.04190167691415332	0.8547291495920827	0.0	0.1284042650852375	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
28	dual	414.1901740009085	431.3015214248771	420.1901740009085	0.10155761936044254	5.0	0.0	0.15289637323227168	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
29	single	258.6475106325008	275.7588580564694	264.6475106325008	0.04638208101067847	1.490473109851046	0.0	0.03717221614884336	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
29	dual	415.34062287909535	432.45197030306394	421.34062287909535	0.5	5.0	0.0	1.9582335645248354	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
30	single	263.66482488476765	280.77617230873625	269.66482488476765	-0.00546537584920688	1.1473361493346794	0.0	0.08003551206460498	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
30	dual	415.8990967787828	433.0104442027514	421.8990967787828	0.08947051206145233	5.0	0.0	3.0	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
31	single	266.1863985050348	283.2977459290034	272.1863985050348	-0.00100851596565592	0.7680772933107786	0.0	0.13333931246522104	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
31	dual	414.85446352815813	431.96581095212673	420.85446352815813	-0.5	5.0	0.0	3.0	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
32	single	195.8989773563873	213.0103247803559	201.8989773563873	0.04299749599359978	0.7712554949529298	0.0	0.09988682991311118	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
32	dual	413.6805203956319	430.7918678196005	419.6805203956319	0.05775928926513689	3.0592813692257756	0.0	0.2653497212866946	0.0	1.0	0.0	0.1	fixed	Nelder-Mead
1	dual	415.2353143551437	432.3466617791123	421.2353143551437	0.16581601227156367	0.69307621124389	0.0	3.0	0.2	0.8	0.0	0.6	specific	Nelder-Mead
1	single	221.06713110001124	238.17847852397983	227.06713110001124	0.05615539971623865	1.9524777197566963	0.0	0.012609699772234615	-0.1	0.8	0.0	0.5	specific	Nelder-Mead
2	dual	415.91340266300597	433.02475008697456	421.91340266300597	0.17757883616310816	5.0	0.0	3.0	-0.1	1.2	0.0	0.1	specific	Nelder-Mead
2	single	254.1689615084356	271.2803089324042	260.1689615084356	0.010647685177141712	0.9778158903231696	0.0	0.09552477122207725	-0.4	1.0	0.0	0.7000000000000001	specific	Nelder-Mead
3	dual	415.9059413067354	433.01728873070397	421.9059413067354	-0.05515986834715894	5.0	0.0	3.0	-0.1	1.0	0.0	0.9	specific	Nelder-Mead
3	single	239.761996935811	256.8733443597796	245.761996935811	0.018975577312064597	0.9311362810061256	0.0	0.09033119685413588	-0.2	1.4000000000000001	0.0	0.30000000000000004	specific	Nelder-Mead
4	dual	416.0067258586534	433.118073282622	422.0067258586534	-0.05465239812671224	5.0	0.0	3.0	0.4	1.2	0.0	0.2	specific	Nelder-Mead
