subject	stream	loss	BIC	AIC	bias	kappa	leakage	noise	bias0	kappa0	leakage0	noise0	x0_type	method
1	dual	408.92779146573173	426.0391388897003	414.92779146573173	-0.15407895729705834	5.0	0.0	2.2036959198703245	0.2	2.0	0.0	0.9	specific	Nelder-Mead
1	single	393.8151782667344	410.926525690703	399.8151782667344	0.318000638605072	0.6331380361245725	0.0	1.3661109982269088	-0.3	1.0	0.0	0.4	specific	Nelder-Mead
2	dual	401.0764558804598	418.18780330442837	407.0764558804598	-0.5	0.0	0.0	2.072856143183122	0.4	1.2	0.0	0.1	specific	Nelder-Mead
2	single	407.76580144411173	424.8771488680803	413.76580144411173	0.13645386437143076	0.9925550449821503	0.0	1.9641650921248743	-0.4	2.0	0.0	0.4	specific	Nelder-Mead
3	dual	406.1028617382477	423.2142091622163	412.1028617382477	-5.086984864535481e-27	0.0020731060325314154	0.0	2.7100711390099237	-0.2	1.2	0.0	0.8	specific	Nelder-Mead
3	single	406.5430361697569	423.65438359372547	412.5430361697569	0.4122945984398706	2.1726285933987137	0.0	2.443306552070664	-0.1	1.8	0.0	0.2	specific	Nelder-Mead
4	dual	398.2317262828898	415.3430737068584	404.2317262828898	0.013743231528164108	0.11093698107021327	0.0	1.839276028344305	0.0	0.4	0.0	0.9	specific	Nelder-Mead
4	single	385.3003720476763	402.4117194716449	391.3003720476763	0.4824511136045554	0.669471425958799	0.0	1.1540442437286103	0.2	1.2	0.0	0.30000000000000004	specific	Nelder-Mead
5	dual	397.3058142553802	414.4171616793488	403.3058142553802	0.19221015514755102	1.9321143561526979	0.0	1.2945054303598498	-0.3	1.8	0.0	0.8	specific	Nelder-Mead
5	single	409.82149791919767	426.93284534316626	415.82149791919767	-0.12233305911029621	5.0	0.0	3.0	-0.1	1.8	0.0	0.6	specific	Nelder-Mead
6	dual	404.1114575567566	421.2228049807252	410.1114575567566	0.23024138743188424	0.9267202238174779	0.0	1.6219276799426856	-0.3	1.8	0.0	1.0	specific	Nelder-Mead
6	single	410.183344813645	427.2946922376136	416.183344813645	-0.3954735142881194	0.0	0.0	3.0	-0.4	0.2	0.0	0.5	specific	Nelder-Mead
7	dual	397.96046161063646	415.07180903460505	403.96046161063646	7.445001579018025e-54	0.017289844257112143	0.0	1.8842678149046463	-0.1	1.2	0.0	0.4	specific	Nelder-Mead
