subject	stream	loss	BIC	AIC	bias	kappa	leakage	noise	bias0	kappa0	leakage0	noise0	x0_type	method
1	dual	385.08131774506387	402.19266516903247	391.08131774506387	-0.11864860323993134	1.3637454338263755	0.0	2.115244792722831	-0.4	1.6	0.0	0.9	specific	Nelder-Mead
1	single	289.6324360224721	306.7437834464407	295.6324360224721	0.04513430234345116	0.503820635335022	0.0	0.9380576372815836	-0.1	0.8	0.0	0.8	specific	Nelder-Mead
2	dual	379.57100802719253	396.68235545116113	385.57100802719253	-0.5	0.0	0.0	2.6291623444829737	-0.4	0.4	0.0	0.8	specific	Nelder-Mead
2	single	361.5889326876731	378.7002801116417	367.5889326876731	0.030066079098205654	0.889184147453499	0.0	1.4586692750620325	0.2	1.0	0.0	0.8	specific	Nelder-Mead
3	dual	391.99144072565474	409.10278814962334	397.99144072565474	-0.5	0.4127396405784879	0.0	2.8069340262927343	0.1	1.6	0.0	0.30000000000000004	specific	Nelder-Mead
3	single	370.63854680866393	387.7498942326325	376.63854680866393	0.06425289902757514	0.7996084844358369	0.0	1.8813401685575992	-0.3	2.0	0.0	0.8	specific	Nelder-Mead
4	dual	339.0651311501123	356.1764785740809	345.0651311501123	-0.1616885480948379	0.9385734494062961	0.0	1.218355506017053	-0.2	0.8	0.0	0.5	specific	Nelder-Mead
4	single	309.5187638922903	326.6301113162589	315.5187638922903	0.12081994258500928	1.2137989549241774	0.0	0.9742997179433809	-0.2	1.6	0.0	0.4	specific	Nelder-Mead
5	dual	365.47959439369754	382.59094181766613	371.47959439369754	0.23572248001651436	2.429017918701315	0.0	1.5482437351733882	-0.2	1.0	0.0	0.7000000000000001	specific	Nelder-Mead
5	single	385.15358810382776	402.26493552779635	391.15358810382776	-0.03158635048797435	4.733722146975193	0.0	1.6938851486638797	0.3	0.6000000000000001	0.0	0.7000000000000001	specific	Nelder-Mead
6	dual	370.379838427052	387.4911858510206	376.379838427052	-0.0158541457559973	0.6699016816817197	0.0	1.8005971422519176	0.3	1.6	0.0	0.30000000000000004	specific	Nelder-Mead
6	single	407.07083621531615	424.18218363928474	413.07083621531615	-0.030430999525640108	2.671710699205267	0.0	3.0	0.1	1.6	0.0	0.1	specific	Nelder-Mead
7	dual	376.51328341469434	393.62463083866294	382.51328341469434	-0.5	0.28667885448150476	0.0	2.164165995205125	-0.2	0.6000000000000001	0.0	0.30000000000000004	specific	Nelder-Mead
7	single	342.3330228184945	359.4443702424631	348.3330228184945	-0.0007809547967705607	0.17166973413791226	0.0	1.6036180424393118	-0.4	0.6000000000000001	0.0	0.2	specific	Nelder-Mead
8	dual	365.86011341947295	382.97146084344155	371.86011341947295	-0.2601784740767741	0.1313835740182259	0.0	2.290060961800336	0.4	0.2	0.0	0.7000000000000001	specific	Nelder-Mead
8	single	317.6811003769305	334.7924478008991	323.6811003769305	0.030213997538034474	1.0876819402442588	0.0	1.0271264520327381	0.1	0.4	0.0	0.9	specific	Nelder-Mead
9	dual	383.1685163381214	400.27986376209	389.1685163381214	0.18194361645622772	0.15766412885579795	0.0	2.6539345263765304	-0.1	0.4	0.0	0.30000000000000004	specific	Nelder-Mead
9	single	348.74984738715153	365.86119481112013	354.74984738715153	-0.061682213852804396	0.8980848790169635	0.0	1.3320380908960265	0.1	2.0	0.0	1.0	specific	Nelder-Mead
10	dual	370.38928795373056	387.50063537769915	376.38928795373056	-0.006809696350227719	0.77399611572371	0.0	1.7947601588506243	-0.4	2.0	0.0	0.30000000000000004	specific	Nelder-Mead
10	single	333.1109975309638	350.2223449549324	339.1109975309638	-0.10353249911830323	0.9000354497053799	0.0	1.2100945263587508	-0.4	0.2	0.0	0.9	specific	Nelder-Mead
11	dual	382.16917827303973	399.28052569700833	388.16917827303973	-0.5	0.0	0.0	2.8629442582190068	0.4	2.0	0.0	0.5	specific	Nelder-Mead
11	single	354.4118975849992	371.5232450089678	360.4118975849992	3.699944737111501e-24	0.0030475911449749215	0.0	2.209976044421045	-0.3	0.4	0.0	0.7000000000000001	specific	Nelder-Mead
12	dual	367.25495046975044	384.36629789371904	373.25495046975044	-0.25001429928148844	0.262222677866385	0.0	2.023476175339102	0.4	0.2	0.0	0.5	specific	Nelder-Mead
12	single	312.1888295438832	329.30017696785177	318.1888295438832	0.13547026740590673	0.69618941686805	0.0	1.1663919376611886	-0.3	0.8	0.0	0.4	specific	Nelder-Mead
