subject	stream	loss	BIC	AIC	bias	kappa	leakage	noise	bias0	kappa0	leakage0	noise0	x0_type	method
1	dual	341.6070301204732	358.7183775444418	347.6070301204732	0.15304705142486744	2.0340708268896908	0.0	1.1158014945002521	-0.1	1.4000000000000001	0.0	0.5	specific	Nelder-Mead
1	single	351.102281275021	368.2136286989896	357.102281275021	0.11362261280851961	0.6499910666956848	0.0	1.4854993639191614	-0.3	2.0	0.0	0.1	specific	Nelder-Mead
2	dual	331.53389419142434	348.64524161539293	337.53389419142434	0.22402748110064533	3.316892783509446	0.0	1.1480289945899516	0.4	1.8	0.0	0.6	specific	Nelder-Mead
2	single	325.8555462032541	342.9668936272227	331.8555462032541	0.02211492765916865	1.0099574398054114	0.0	1.126137877785872	-0.3	1.4000000000000001	0.0	1.0	specific	Nelder-Mead
3	dual	312.22180832691936	329.33315575088795	318.22180832691936	0.06582186939971951	1.7318626163562718	0.0	0.8503209324913512	0.0	0.6000000000000001	0.0	0.8	specific	Nelder-Mead
3	single	310.4692096390037	327.5805570629723	316.4692096390037	0.03000418153712469	1.0583454459227168	0.0	0.9429379645031268	-0.3	1.0	0.0	0.1	specific	Nelder-Mead
4	dual	360.0888415997473	377.2001890237159	366.0888415997473	0.1500595949991978	1.5666953739309752	0.0	1.4481674045818758	-0.2	0.8	0.0	0.30000000000000004	specific	Nelder-Mead
4	single	351.117306397991	368.2286538219596	357.117306397991	0.10907742424976305	1.0939181453427556	0.0	1.4120341706202006	0.1	1.4000000000000001	0.0	0.6	specific	Nelder-Mead
5	dual	337.525137897867	354.6364853218356	343.525137897867	-0.013058890821126327	1.7030496697131343	0.0	0.9944577678473332	-0.3	0.8	0.0	0.9	specific	Nelder-Mead
5	single	312.48052658416	329.59187400812857	318.48052658416	-0.01871360878590099	1.0476229893419997	0.0	0.9276347526697949	0.4	2.0	0.0	1.0	specific	Nelder-Mead
6	dual	357.9024276881031	375.0137751120717	363.9024276881031	-0.09562002557837673	0.8610183795157735	0.0	1.4641836779056643	-0.1	1.0	0.0	0.8	specific	Nelder-Mead
6	single	340.16234444577714	357.27369186974573	346.16234444577714	-0.015996273559594293	0.9710624166444161	0.0	1.2372454462822664	0.3	1.0	0.0	0.5	specific	Nelder-Mead
7	dual	308.7432888168262	325.8546362407948	314.7432888168262	0.19487888306217552	2.860926725451785	0.0	0.856439048861533	0.1	0.8	0.0	1.0	specific	Nelder-Mead
7	single	304.41928638120896	321.53063380517756	310.41928638120896	-0.008948675822893715	0.23108311753532995	0.0	1.2026217990278494	0.0	2.0	0.0	1.0	specific	Nelder-Mead
8	dual	350.9516697526515	368.0630171766201	356.9516697526515	-0.4999999999999999	0.04473892257747526	0.0	1.7445592379260215	-0.1	0.6000000000000001	0.0	0.8	specific	Nelder-Mead
8	single	341.6382545405672	358.74960196453577	347.6382545405672	0.027133924870962705	1.0206735074590445	0.0	1.11730757799702	0.0	1.2	0.0	0.2	specific	Nelder-Mead
9	dual	309.75207054453506	326.86341796850365	315.75207054453506	-0.23858428969757633	0.42325862519472884	0.0	1.1192443401239345	0.3	0.4	0.0	0.2	specific	Nelder-Mead
9	single	324.0100007442635	341.1213481682321	330.0100007442635	-0.05980186769895775	0.7714361929477824	0.0	1.0950217042350716	-0.3	0.2	0.0	0.8	specific	Nelder-Mead
10	dual	349.44101533375	366.5523627577186	355.44101533375	0.001485156812098027	0.6229281893559874	0.0	1.4304617063664575	0.3	0.8	0.0	0.1	specific	Nelder-Mead
10	single	365.39194138290543	382.503288806874	371.39194138290543	-0.09110533845892592	0.8730415454641275	0.0	1.6366534081766926	-0.4	2.0	0.0	0.8	specific	Nelder-Mead
11	dual	379.7788281505979	396.8901755745665	385.7788281505979	0.30700659472893743	3.734605002660758	0.0	2.552301100714201	0.1	0.6000000000000001	0.0	0.1	specific	Nelder-Mead
11	single	334.59080446734106	351.70215189130965	340.59080446734106	0.038223904908919956	0.34840629915827104	0.0	1.508092606335508	-0.3	1.2	0.0	0.9	specific	Nelder-Mead
12	dual	337.2194246216842	354.3307720456528	343.2194246216842	-0.2544526921442414	0.3555621025693131	0.0	1.4050905388070802	0.3	1.6	0.0	0.2	specific	Nelder-Mead
12	single	326.05357163330547	343.16491905727406	332.05357163330547	0.1269961971478368	1.0986550059695461	0.0	1.1706036886502966	0.3	1.4000000000000001	0.0	1.0	specific	Nelder-Mead
13	dual	337.0429310666447	354.1542784906133	343.0429310666447	-0.3049019745861241	0.4420108649333175	0.0	1.3485857618923973	-0.1	1.0	0.0	0.8	specific	Nelder-Mead
13	single	307.4399328340623	324.5512802580309	313.4399328340623	-0.13478987721592722	0.1318282086437167	0.0	1.3806644912035533	0.2	0.8	0.0	0.8	specific	Nelder-Mead
14	dual	317.6422176927141	334.7535651166827	323.6422176927141	-0.027387904130104057	1.5806136607503039	0.0	0.8921850551932358	-0.4	1.8	0.0	0.4	specific	Nelder-Mead
14	single	328.5850417352872	345.6963891592558	334.5850417352872	0.038396395825894054	0.42909782846063316	0.0	1.304693484039275	-0.2	1.2	0.0	0.6	specific	Nelder-Mead
16	dual	365.32739807743235	382.43874550140094	371.32739807743235	0.10110242063152788	3.7282936041243993	0.0	1.4117028282399164	0.0	1.4000000000000001	0.0	0.8	specific	Nelder-Mead
16	single	364.0908059981877	381.2021534221563	370.0908059981877	0.2418227099016014	0.983697457762416	0.0	2.1289711185476046	0.2	0.2	0.0	0.6	specific	Nelder-Mead
17	dual	321.84159090831264	338.95293833228124	327.84159090831264	-0.2558711868503919	0.39661943108811615	0.0	1.2405651783738103	-0.2	0.8	0.0	0.9	specific	Nelder-Mead
17	single	333.19758651765716	350.30893394162575	339.19758651765716	0.025135650734199523	1.1950851842263668	0.0	1.06334063663747	0.4	1.8	0.0	0.7000000000000001	specific	Nelder-Mead
18	dual	306.4017967789559	323.5131442029245	312.4017967789559	0.06187915464910043	1.7177870445375714	0.0	0.750464930974771	-0.4	0.8	0.0	0.6	specific	Nelder-Mead
18	single	348.40697270284636	365.51832012681496	354.40697270284636	0.058277821701268454	0.7788889748640533	0.0	1.3753878955649173	-0.2	1.2	0.0	0.6	specific	Nelder-Mead
