subject	stream	weight_type	number	weight	x0_type
1	dual	data	1	0.3684210526315789	specific
1	dual	data	2	0.4083333333333333	specific
1	dual	data	3	0.4732142857142857	specific
1	dual	data	4	0.43636363636363634	specific
1	dual	data	5	0.4818181818181818	specific
1	dual	data	6	0.5201342281879194	specific
1	dual	data	7	0.5375	specific
1	dual	data	8	0.6115942028985507	specific
1	dual	data	9	0.6696165191740413	specific
1	dual	model	1	0.3701341009442672	specific
1	dual	model	2	0.42351245795953596	specific
1	dual	model	3	0.4366932442571623	specific
1	dual	model	4	0.4612924425318895	specific
1	dual	model	5	0.4716904496751531	specific
1	dual	model	6	0.517573053862953	specific
1	dual	model	7	0.5437182061482557	specific
1	dual	model	8	0.6110430386123843	specific
1	dual	model	9	0.6705012500679135	specific
1	dual	model_k1	1	0.3587560400326032	specific
1	dual	model_k1	2	0.4080428152270456	specific
1	dual	model_k1	3	0.426499439044884	specific
1	dual	model_k1	4	0.4722315757806195	specific
1	dual	model_k1	5	0.4995834308236671	specific
1	dual	model_k1	6	0.5378279378392491	specific
1	dual	model_k1	7	0.551558732439899	specific
1	dual	model_k1	8	0.6094063147990231	specific
1	dual	model_k1	9	0.647169789575489	specific
1	dual	model_mean	1	0.3780220837772084	specific
1	dual	model_mean	2	0.4331114492901684	specific
1	dual	model_mean	3	0.4492775982673859	specific
1	dual	model_mean	4	0.4750471252349463	specific
1	dual	model_mean	5	0.4705971797882493	specific
1	dual	model_mean	6	0.505432529376427	specific
1	dual	model_mean	7	0.5309897514820205	specific
1	dual	model_mean	8	0.5965557270210623	specific
1	dual	model_mean	9	0.6649825719101754	specific
1	single	data	1	0.4590643274853801	specific
1	single	data	2	0.4444444444444444	specific
1	single	data	3	0.47619047619047616	specific
1	single	data	4	0.4393939393939394	specific
1	single	data	5	0.5151515151515151	specific
1	single	data	6	0.697986577181208	specific
1	single	data	7	0.678125	specific
1	single	data	8	0.6985507246376812	specific
1	single	data	9	0.7138643067846607	specific
1	single	model	1	0.4099897771913143	specific
1	single	model	2	0.4266850473358846	specific
1	single	model	3	0.4500444880110688	specific
1	single	model	4	0.4535945292885343	specific
1	single	model	5	0.5621193938237495	specific
1	single	model	6	0.6492075368937796	specific
1	single	model	7	0.6584821722946239	specific
1	single	model	8	0.667083072931561	specific
1	single	model	9	0.6946816124396967	specific
1	single	model_k1	1	0.3972523550711053	specific
1	single	model_k1	2	0.4387963999349646	specific
1	single	model_k1	3	0.4762158901964132	specific
1	single	model_k1	4	0.4929974245524807	specific
1	single	model_k1	5	0.5375390292534954	specific
1	single	model_k1	6	0.6148003476396042	specific
1	single	model_k1	7	0.6454053088754144	specific
1	single	model_k1	8	0.6685772324600106	specific
1	single	model_k1	9	0.7143629396408442	specific
1	single	model_mean	1	0.37949785535558217	specific
1	single	model_mean	2	0.4119135550464843	specific
1	single	model_mean	3	0.438520068038257	specific
1	single	model_mean	4	0.45342897803706533	specific
1	single	model_mean	5	0.5089163228108723	specific
1	single	model_mean	6	0.5897755863462663	specific
1	single	model_mean	7	0.6139109848038744	specific
1	single	model_mean	8	0.6319100292453741	specific
1	single	model_mean	9	0.6692934683228352	specific
