subject	stream	weight_type	number	weight	x0_type
1	dual	data	1	0.3684210526315789	specific
1	dual	data	2	0.4083333333333333	specific
1	dual	data	3	0.4732142857142857	specific
1	dual	data	4	0.43636363636363634	specific
1	dual	data	5	0.4818181818181818	specific
1	dual	data	6	0.5201342281879194	specific
1	dual	data	7	0.5375	specific
1	dual	data	8	0.6115942028985507	specific
1	dual	data	9	0.6696165191740413	specific
1	dual	model	1	0.36183384428407117	specific
1	dual	model	2	0.40985467157955235	specific
1	dual	model	3	0.4277005267733177	specific
1	dual	model	4	0.4728840503202454	specific
1	dual	model	5	0.4998718269968375	specific
1	dual	model	6	0.5369449883973222	specific
1	dual	model	7	0.5507749253122027	specific
1	dual	model	8	0.6067547991521902	specific
1	dual	model	9	0.6442487865071508	specific
1	dual	model_k1	1	0.36183384428407117	specific
1	dual	model_k1	2	0.40985467157955235	specific
1	dual	model_k1	3	0.4277005267733177	specific
1	dual	model_k1	4	0.4728840503202454	specific
1	dual	model_k1	5	0.4998718269968375	specific
1	dual	model_k1	6	0.5369449883973222	specific
1	dual	model_k1	7	0.5507749253122027	specific
1	dual	model_k1	8	0.6067547991521902	specific
1	dual	model_k1	9	0.6442487865071508	specific
1	dual	model_mean	1	0.3694095555317	specific
1	dual	model_mean	2	0.41435320740684817	specific
1	dual	model_mean	3	0.43078444142212513	specific
1	dual	model_mean	4	0.474526476595457	specific
1	dual	model_mean	5	0.500444301031822	specific
1	dual	model_mean	6	0.5347810669170194	specific
1	dual	model_mean	7	0.5487305922035453	specific
1	dual	model_mean	8	0.6003477224290553	specific
1	dual	model_mean	9	0.636968544903914	specific
1	single	data	1	0.4590643274853801	specific
1	single	data	2	0.4444444444444444	specific
1	single	data	3	0.47619047619047616	specific
1	single	data	4	0.4393939393939394	specific
1	single	data	5	0.5151515151515151	specific
1	single	data	6	0.697986577181208	specific
1	single	data	7	0.678125	specific
1	single	data	8	0.6985507246376812	specific
1	single	data	9	0.7138643067846607	specific
1	single	model	1	0.4100510545773561	specific
1	single	model	2	0.45210854170758114	specific
1	single	model	3	0.4911126297615692	specific
1	single	model	4	0.5076297575588966	specific
1	single	model	5	0.5525638164609643	specific
1	single	model	6	0.6299437491966818	specific
1	single	model	7	0.6604720255907562	specific
1	single	model	8	0.6836387944142118	specific
1	single	model	9	0.7291846855880363	specific
1	single	model_k1	1	0.4100510545773561	specific
1	single	model_k1	2	0.45210854170758114	specific
1	single	model_k1	3	0.4911126297615692	specific
1	single	model_k1	4	0.5076297575588966	specific
1	single	model_k1	5	0.5525638164609643	specific
1	single	model_k1	6	0.6299437491966818	specific
1	single	model_k1	7	0.6604720255907562	specific
1	single	model_k1	8	0.6836387944142118	specific
1	single	model_k1	9	0.7291846855880363	specific
1	single	model_mean	1	0.3784825033249695	specific
1	single	model_mean	2	0.41886707473021495	specific
1	single	model_mean	3	0.44992334631607245	specific
1	single	model_mean	4	0.4677078337289369	specific
1	single	model_mean	5	0.5101974878365778	specific
1	single	model_mean	6	0.5836442265278258	specific
1	single	model_mean	7	0.612464317574935	specific
1	single	model_mean	8	0.6343587638468422	specific
1	single	model_mean	9	0.678390584577742	specific
